matchedPattern,count
NX_Q8N0W5,1
NX_O43374,1
NX_Q99437,1
NX_Q6IS14,1
NX_Q96RD7,1
NX_P58180,1
NX_A6NCM1,1
NX_Q8IY67,1
NX_Q9C0G0,1
NX_FRa,1
NX_ANAA00000000,1
NX_Q5VTU8,1
NX_Q8WWI5,1
NX_Q9BQ87,1
NX_Q9NRJ5,1
NX_Q96KX1,1
NX_P12955,1
NX_Q6ZR08,1
NX_Q8NGL6,1
NX_Q92945,1
NX_P37198,1
NX_P59817,1
NX_A6NNF4,1
NX_Q66K74,1
NX_Q9ULX6,1
NX_Q15758,1
NX_utr2,1
NX_hs79,1
NX_hs226,1
NX_HD,1
NX_Q9UJN7,1
NX_Q52M93,1
NX_P19012,1
NX_Q6R2W3,1
NX_100,1
NX_hs162,1
NX_O15382,1
NX_MOUSE,1
NX_Q14585,1
NX_T,1
NX_Q9BXX2,1
NX_P54577,1
NX_Q96M86,1
NX_Q8NDH2,1
NX_Q99217,1
NX_Q6ZMV8,1
NX_P06744,1
NX_P0CW27,1
NX_P40429,1
NX_Q9Y2H8,1
NX_05780,1
NX_RG,1
NX_Q9UBE0,1
NX_11710,1
NX_class,1
NX_A,1
NX_P83859,1
NX_Q9BQ67,1
NX_Q13011,1
NX_CRT,1
NX_Q4AC99,1
NX_hs375,1
NX_A6NN73,1
NX_Q9H2H0,1
NX_Q6PEW1,1
NX_Q56UQ5,1
NX_Q9H7N4,1
NX_O00754,1
NX_A8K0S8,2
NX_P37840,2
NX_P14314,2
NX_Q8IYS8,2
NX_O60664,2
NX_Q2VIQ3,2
NX_C9J798,2
NX_Q5T2N8,2
NX_Q6URK8,2
NX_Gate32,2
NX_SLEEP_short,2
NX_2_249,2
NX_A6NHN6,2
NX_short,2
NX_P0CG32,2
NX_C18,2
NX_B2RXH8,2
NX_A6NJT0,3
NX_P30536,3
NX_P0CF97,3
NX_002,3
NX_Q9NPU4,3
NX_Q8IVY1,3
NX_Q5T036,3
NX_Q8N5Q1,3
NX_DEC,3
NX_Q96SF2,3
NX_P,4
NX_Q96HZ7,4
NX_P0CB46,4
NX_hs54,4
NX_G,5
