matchedPattern,count
K2HPO4,8972
K2V617,7763
P21212,6690
C9ORF7,6571
H4HCO3,5618
B6C3F1,5540
U2AF65,4855
L1TR00,2770
R1A1A2,2427
T2N0M0,2173
H2AK11,2159
K5RAP2,2127
T1N0M0,2089
T3N0M0,1879
L1RR02,1611
B6D2F1,1576
U2AF35,1408
P30CA0,1311
P388D1,1274
R1A2A2A010,1161
T3N1M0,1067
P20GM1,937
T6GAL1,935
R1A1A1,920
F4EBP1,880
C2H3O2,870
T2N1M0,850
P43212,845
H2BK12,839
S1M146,824
H1R132,822
C6H6N2,766
P19CL6,761
T4N0M0,718
P30DK0,715
P41212,687
F2IRD1,636
H3PXD2,632
R0L075,626
D2S123,598
P20RR0,593
C6H5O7,579
M3CSK4,552
D5S346,543
H3K122,541
B3GAP1,523
K2S2O8,504
C6H2N3,480
T4N1M0,469
T3N2M0,467
P2RY12,459
L2TR00,453
D7S820,441
P30EY0,440
P30ES0,440
D3S135,438
P12510,433
R1A1A3,432
T0E028,431
D5S818,423
T8SIA2,416
P10008,404
D8S117,401
C8H4O4,400
K3CAH1,390
T8SIA4,388
C7H5O3,386
B4GAT1,382
H3GA00,373
R3DL05,372
T2N2M0,367
C3H4N2,365
P41GM1,364
P50CA1,363
T1N1M0,360
C7H5O2,351
R1A2A1A110,345
P02768,341
C2H8N2,339
C8H7O2,338
D4CD25,337
C6H9N2,334
P30CA1,334
H3C6H4,330
P04637,322
D1A225,321
D2S133,316
P30AI0,313
L3R451,308
R1D1A1A010,308
R1R2R3,306
C5H7O2,304
T3GAL4,303
E6S090,303
B3GNT1,297
B3PW91,294
P50CA0,289
C2H4O2,288
T3GAL1,288
T4N2M0,285
