matchedPattern,context,lineNumber,columnNumber,publicationName
B6C3F1,... 120-83-2) in F344/N rats and B6C3F1 mice (feed studies). Na...,46,138,3_Biotech_2016_Dec_23_6(1)_82.txt
B6C3F1,...factors on tumor incidence in B6C3F1 mice Fundam. Appl. Toxi...,105,137,Acta_Histochem_Cytochem_2007_May_12_40(2)_61-67.txt
B6C3F1,... morphology in ovariectomized B6C3F1 mice: role of the estro...,162,186,Acta_Neuropathol_Commun_2015_Nov_26_3_74.txt
B6C3F1,"...C, ΔR14, or WT-overexpression	B6C3F1	Healthy at time of deat...",85,145,Acta_Neuropathol_Commun_2016_Sep_6_4(1)_99.txt
B6C3F1,...lic acid (poly I:C) in female B6C3F1 mice: role of endogenou...,126,123,Acta_Pharmacol_Sin_2011_Feb_4_32(2)_245-252.txt
B6C3F1,...ed in feed to F344/N rats and B6C3F1 mice Toxic Rep Ser 1995...,167,140,Adolesc_Health_Med_Ther_2012_Jan_6_3_17-26.txt
B6C3F1,"... age. These studies used male B6C3F1 mice (Harlan Breeders, ...",66,1878,Age_(Dordr)_2012_Feb_22_34(1)_111-120.txt
B6C3F1,"...an some F1 mice. For example, B6C3F1 mice have a mean life s...",80,690,Age_(Dordr)_2012_Feb_22_34(1)_111-120.txt
B6C3F1,"...hologies of long-lived, male, B6C3F1 mice. The oils were inc...",4,767,Age_(Dordr)_2014_Jun_10_36(3)_9659.txt
B6C3F1,"...2). As is typical of meal-fed B6C3F1 mice, all the mice bega...",32,232,Age_(Dordr)_2014_Jun_10_36(3)_9659.txt
B6C3F1,"... al. 2013a, b). Briefly, male B6C3F1 mice (Harlan Breeders; ...",170,119,Age_(Dordr)_2014_Jun_10_36(3)_9659.txt
B6C3F1,"...ocalorically fed, long-lived, B6C3F1 mice. Males were used f...",4,967,PMC5266223.txt
B6C3F1,"Five male, B6C3F1 mice in each treatment ...",266,12,PMC5266223.txt
B6C3F1,... can increase the lifespan of B6C3F1 mice (Spindler et al. 2...,300,571,PMC5266223.txt
B6C3F1,...protein isoprenylation in the B6C3F1 mice used for the prese...,303,633,PMC5266223.txt
B6C3F1,...tly increases the lifespan of B6C3F1 mice. Neither drug alon...,317,85,PMC5266223.txt
B6C3F1,Two cohorts of 2400 male B6C3F1 mice were utilized for ...,321,26,PMC5266223.txt
B6C3F1,...udies. The mice were unmated. B6C3F1 mice are a cross betwee...,321,94,PMC5266223.txt
B6C3F1,...hat CR increases life span of B6C3F1 mice when initiated at ...,150,384,Aging_(Albany_NY)_2011_Feb_21_3(2)_148-157.txt
B6C3F1,...avioral variables in old male B6C3F1 mice Chronobiol Int 199...,100,152,Aging_(Albany_NY)_2011_Mar_27_3(4)_374-379.txt
